                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.42901,                  0.686,                0.37144,                0.98602,                0.99727,                0.96262,                0.98732,                0.89327,                0.98759,                0.95327,                0.98514,                 0.8858,                0.44521,                0.79628,                0.35158,                 1.0775,              0.0003566,              0.0003566,              0.0003566
                     85,                0.40527,                0.63725,                 0.3573,                0.97194,                0.99064,                0.98915,                0.99491,                0.90304,                0.98804,                0.96262,                0.97687,                0.89171,                0.45334,                0.77928,                0.31615,                 1.0733,              0.0003368,              0.0003368,              0.0003368
                     86,                0.37997,                0.63537,                0.34866,                0.97198,                 0.9991,                0.98131,                0.99446,                0.88643,                0.99038,                0.96183,                 0.9842,                0.89905,                0.48105,                0.78788,                0.31279,                 1.0946,               0.000317,               0.000317,               0.000317
                     87,                0.41299,                0.63783,                0.37187,                0.97945,                      1,                 0.9618,                0.99426,                0.88545,                0.99028,                0.95264,                0.98393,                0.88968,                 0.4701,                0.79252,                   0.32,                 1.0981,              0.0002972,              0.0002972,              0.0002972
                     88,                0.39679,                0.62846,                0.35304,                0.96883,                0.99046,                 0.9705,                0.99391,                0.89915,                0.97139,                 0.9519,                0.98517,                0.88792,                0.45565,                0.80823,                0.30613,                 1.0886,              0.0002774,              0.0002774,              0.0002774
                     89,                0.39693,                0.64199,                0.34567,                0.97161,                0.97192,                0.97045,                0.99346,                0.90039,                0.96216,                0.95327,                0.97799,                0.88179,                0.44694,                0.85146,                0.32353,                 1.0802,              0.0002576,              0.0002576,              0.0002576
                     90,                0.36523,                0.60485,                0.33498,                0.95855,                0.97193,                0.97068,                0.99069,                0.90473,                0.95203,                0.94393,                0.96151,                0.88225,                0.42096,                 0.8894,                0.32763,                 1.0461,              0.0002378,              0.0002378,              0.0002378
                     91,                0.33172,                0.57447,                0.31185,                0.95802,                0.97798,                0.94393,                0.98961,                0.89544,                0.95782,                0.92523,                  0.967,                0.87843,                0.42795,                0.91401,                0.33317,                 1.0465,               0.000218,               0.000218,               0.000218
                     92,                0.31866,                0.52829,                0.28393,                0.96006,                0.99834,                0.95327,                0.99208,                0.89263,                0.97755,                0.93458,                0.97001,                0.88466,                0.43071,                 0.8914,                0.31019,                 1.0549,              0.0001982,              0.0001982,              0.0001982
                     93,                0.31372,                0.51031,                0.27035,                 0.9557,                0.98129,                0.98035,                0.99304,                 0.8988,                0.97068,                0.95327,                 0.9725,                0.89117,                0.43283,                0.86681,                0.29914,                  1.051,              0.0001784,              0.0001784,              0.0001784
                     94,                0.29657,                0.47734,                 0.2492,                0.93439,                0.98141,                0.98687,                0.99453,                0.89086,                0.96252,                0.96001,                0.96772,                0.88402,                0.46511,                0.85074,                 0.2922,                 1.0848,              0.0001586,              0.0001586,              0.0001586
                     95,                0.28351,                0.47999,                0.25099,                0.93076,                      1,                0.97148,                0.99472,                 0.9003,                0.99038,                0.96221,                0.98483,                0.89421,                0.45088,                0.81297,                0.28382,                 1.0692,              0.0001388,              0.0001388,              0.0001388
                     96,                0.29976,                0.47094,                0.25052,                0.92494,                0.96242,                      1,                0.99418,                0.90913,                0.98054,                0.94181,                0.98103,                0.89665,                0.43105,                0.77907,                0.27489,                 1.0449,               0.000119,               0.000119,               0.000119
                     97,                0.29159,                0.51172,                0.25416,                0.93428,                0.98034,                0.98131,                0.99417,                0.90333,                0.97093,                0.97196,                0.98439,                0.89751,                0.42347,                0.76363,                0.27807,                 1.0499,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.28354,                0.47659,                0.23956,                0.92654,                0.97916,                0.98131,                0.99416,                0.91504,                0.96975,                0.97196,                0.98444,                0.90179,                0.40353,                0.76123,                  0.278,                 1.0335,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.27365,                0.47715,                0.22924,                0.91157,                0.97547,                0.98131,                0.99397,                 0.9199,                0.97193,                0.97082,                0.98417,                0.90361,                0.40159,                0.77119,                0.27618,                 1.0308,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.27648,                0.49607,                0.23845,                0.93086,                0.98144,                0.98827,                0.99407,                 0.9137,                0.97195,                0.97167,                0.98413,                0.90164,                0.40265,                0.76683,                0.27505,                 1.0321,               3.98e-05,               3.98e-05,               3.98e-05
